fullname,country,uid,dob,salary,new_value
Jayden Olson,india,xyz_1234,02/22/1994,2000,4
Ramu Galla,america,xyz_1235,07/20/1995,2001,5
Gokul Govind,america,xyz_1236,08/20/1995,2002,6
Aswin Srinivasan,india,xyz_1237,02/22/1994,2003,7
Monica Lynch,america,xyz_1238,07/20/1995,2004,8
Alan Craig,india,xyz_1239,08/20/1995,2005,9
Henry Rixon,america,xyz_1240,02/22/1994,2006,10
Kurt Mills,india,xyz_1241,02/22/1994,2007,11
Chad Silva,america,xyz_1242,07/20/1995,2008,12
Jayden Olson,india,xyz_1243,08/20/1995,2008,13
